,Review,Rating,sentiment
54," Apples were beautifully arranged like Pyramid in the Van,",1,1.0
55," Beautiful greeneries could be seen outside,",1,1.0
56, No vehicular traffic was allowed between 6 PM to 6AM next day.,0,0.0
57, View of the forest was wet and mystic.,1,1.0
58, Innumerable tall trees could be seen behind and the left of the Guest House.,1,1.0
59," Two separate cots with mosquito nets,",0,0.0
60, we noticed the deer herd walking around the tree branches.,1,1.0
61,"noise of barking deer,",0,0.0
62,difficult to view properly while driving.,0,0.0
63,First view of the falls from quite a distance was a pale white patch coming thru the mountains.,1,1.0
64, A mystic and beautiful sight.,1,1.0
65,A beautiful Rameshwara temple was situated at the foothills and adjacent to the ticket counter.,1,1.0
66,From the foothills itself the roaring sound of the waterfalls could be heard.,1,1.0
67, There was no noise except the sound of nature.,1,0.0
68, Todays feature was the sound of wind emanating from huge tree leaves nearby Guest House.,1,1.0
69, We brought both manual as well as electrical mosquito repellent and both were operating.,0,1.0
70, Both the cots were equipped with separate good-looking Mosquito nets.,0,0.0
71, I could hear the sound of tree leaves further strengthened due to strong wind blows.,1,1.0
72, We carried Mosquito Coil as well as Mosquito Repellent.,0,1.0
73," not because of mosquitos but to protect from insects,",0,1.0
74,One of my main problems was the traffic I considered myself fortunate I didnt have to drive in it (you need courage to drive in India!,0,1.0
75," Theres not many places in Indian cities where you can walk around quiet streets,",0,0.0
76,Selecting a particular que in a crowded Toll Booth with so many options was anybodys guess.,0,0.0
77, Intensity of traffic largely reduced after Hosur and we could increase the speed.,1,1.0
78, The road between Hosur and Krishnagiri/ Dharmapuri was very scenic with surrounding hills in both sides.,1,1.0
79, Car was smoothly cruising the highway and we were enjoying the surrounding beauty of nature.,1,1.0
80, we reached the beautiful Ghat Section near Salem.,1,1.0
81," NH44 was proceeding amidst this beautiful landscape like a serpent,",1,1.0
82, we faced traffic congestion and decided to fill our stomach.,0,0.0
83, Inside atmosphere was calm and quite.,1,1.0
84, This was a narrow and crowded road.,0,0.0
85," Locating a place in a big crowded city like Madurai,",0,1.0
86," This beautiful temple is the abode of Goddess Parvati,",1,1.0
87, Roads in and around the temple were very narrow and heavily crowded with all kinds of vehicles and pedestrians.,0,0.0
88, Fortunately there was not much crowd to observe the same.,1,1.0
89, There was a beautiful balcony adjacent to the room.,1,1.0
90, Three big trees in the garden located very near to the balcony were accommodating no of squirrels and varieties of birds.,1,1.0
91, Gradually tall mountain ranges emerged in the distant horizon.,1,1.0
92, Road was extremely busy with full of traffic throughout the journey to our ultimate destination.,0,0.0
93, Road passed thru several busy areas (both in Tamil Nadu and subsequently in Kerala) and in all these places traffic congestion was a big pain.,0,1.0
94, One mosquito repellent was provided without any repellent oil.,0,0.0
95, Main idol of Sree Padmanahaswamy is about 18 Ft long and can be viewed through three main doors.,1,1.0
96, there was not much crowd and huge congestion in front of the deity and we had an excellent darshan of the Lord.,0,1.0
97,"View of Indian Ocean,",1,1.0
98, This place was beautiful with greeneries everywhere.,1,1.0
99, The road was heavily crowded with all kinds of vehicles.,0,0.0
100, the agility and skill of negotiating crowded streets by the Red Colour State Government Buses were noticeable.,1,1.0
101, Thereafter the environment became quiet and lonely.,1,0.0
102,Kanyakumari beach was next in the list.,1,1.0
103, Drizzle started and we were enjoying the panoramic view of the sea and the rainfall taking sip in the tea cup from the hotel balcony.,1,1.0
104, Panoramic view of the swelling sea waves striking the sea shore were really fascinating.,1,1.0
105, mountain ranges in distant horizon created a scenic view in the morning sunshine.,1,1.0
106, I pressed the horn but it ignored and paused almost at the middle of the narrow road.,0,0.0
107, The right hand mirror of the car hit the horn of the cow and was completely broken.,0,1.0
108,The sea beach was wonderful and pleasant.,1,1.0
109, It was a nice and peaceful darshan.,1,1.0
110, turned the roads into rivers and the traffic into even more random chaos.,0,0.0
111, We approached the main road (which we needed to be on the other side of) and there were 4 rows of moving traffic coming from the right my first though was oh great we have to get in that and then find somewhere to do a U-Turn (which takes ages) but oh no fear not the Auto man was not going to waste time and without any hesitation just headed straight out into the traffic!,0,1.0
112, everyone crowded around I tried to clean it up nobody would let me clean it up and then the cleaning lady who happened to be nearby gave me the most unimpressed looks I saw her the next day and smiled and I got another very unimpressed look :/ We also went out to a really nice Indian restaurant called Tandoor with the neighbour Marcus (who wed met before) and his wife Elin (whod just come back from overseas).,0,1.0
113, roads were having comparatively less traffic possibly due to Ugadi Festival.,1,1.0
114, Nearby fields were dry with traces of greenery in few places.,0,0.0
115,Satara was very pleasant due to its panoramic beauty amongst hills.,1,1.0
116, Roads were filled with considerable traffic (noticeably large no of two wheelers).,0,1.0
117, There was comparatively less crowd in Mumbai roads also due to Gudi Padwa festival.,1,1.0
118,"First route was convenient but the second route offered scenic beauty,",1,1.0
119, two lane highway and above all crowded and risky.,0,0.0
120, After proceeding further the Savitri river took a beautiful turn.,1,1.0
121,There was a banian tree on the bank of the river.,1,1.0
122, calm and quietness of the place and splendid nature around.,1,1.0
123, The road was narrow at some places like normal hilly roads but occasionally having heavy traffic with all kinds of small and large vehicles.,0,1.0
124," this curvy and scenic ghat road was spectacular through tall mountain ranges,",1,1.0
125, Gradually the place became crowded with tourists.,0,0.0
126,the vast area of mountain ranges.,1,1.0
127,The fort area was huge and from the downhill it was difficult to believe that such a vast land existed on the mountain top.,1,1.0
128, The Shayadri mountain ranges surrounded in all its sides which made this place safe and difficult to conquer.,1,1.0
129,"Beautiful tea cups in a road-side restaurant,",1,1.0
130, Suddenly the landscape changed and we were driving thru majestic mountains and the deep valleys.,1,1.0
131,It was a beautiful drive and probably the best part of our entire tour.,1,1.0
132," The scenic beauty was breathtaking with mountains with lush greeneries all over,",1,1.0
133, We checked in Hotel Calangute Residency Annex (a Goa Tourism budget Hotel very near the sea beach) quickly and rushed to the sea beach.,1,1.0
134," The beach was full with thousands of tourists,",0,0.0
135, Even after the night fall the beach was crowded.,0,0.0
136,beach and had a nice sleep in cool breeze.,1,1.0
137,The hotel was situated very near to the beach entrance.,1,1.0
138, Also lot of shops were selling light beach garments.,1,1.0
139,Stoppage to Kolva Beach was worth remembering.,1,1.0
140," Guide explained that it was the 2nd longest (19 km) sea beach in India (after Marina,",1,1.0
141,There was no time for us to join and we left the beach with an interesting experience.,1,1.0
142,There were two beautiful temples in our tour.,1,1.0
143," A beautiful Classical Bhajan was being played during our visit to the Mungeshi temple,",1,1.0
144,for public viewing once every ten years and attract viewers all over the world.,1,1.0
145, But when the entry gate opened the entire crowd was managed in a very well-planned and disciplined manner.,1,1.0
146, A very calm and quite place compared to the crowd of Goa Beaches.,1,1.0
147,Dudhsagar Waterfalls by train.,1,1.0
148,But the majestic and roaring waterfall made us mesmerised and at the same time frightened.,1,0.0
149, It was a mixture of fierce and beauty at the same time.,1,1.0
150,It was a bumpy ride throughout a kachha road inside the dense forest and mountains on the horizon.,0,0.0
151, The scenic beauty was excellent to watch and enjoy.,1,1.0
152, He further recalled that earlier he used to take tourists from Kollem to the waterfalls thru a very narrow walking route just adjacent to the railway track by motorcycle.,0,1.0
153,We reached the waterfalls at around 2 O Clock.,1,1.0
154,Dudhsagar was a multi-tired waterfall and the railway track passed thru the middle portion of the waterfall.,1,1.0
155," We reached to the bottom of the falls from where a beautiful panoramic view of the top,",1,1.0
156, the surrounding western ghat mountains as well as the green forest were visible.,1,1.0
157, The scenic beauty was extremely pleasing.,1,1.0
158, about 1 ½ hours away without traffic 3 hours with Bangalore traffic.,0,0.0
159," The traffic is so so frustrating but you do go slow enough to notice whats going on,",0,0.0
160," a car making its way very slowly amongst the traffic on the wrong side of the road,",0,0.0
161, sugar cane and rice fields that got lusher and lusher.,1,1.0
162," It was really crowded inside,",0,0.0
163, more traffic than usual.,0,0.0
164, after Andamans I thought any other beach wouldn't look so great.,1,1.0
165, Beautiful beach again!,1,1.0
166, Theres not much to say about the journey other than traffic (most of my photos so far are of the traffic and cows for a reason !,0,0.0
167, There are also some very nice and interesting views of Bangalore from the building.,1,1.0
168,Its Friday night now and its a quiet one sorting out the house and watching Slumdog Millionaire.,1,1.0
169," its such a beautiful hotel and the staff are so nice,",1,1.0
170,I had a bit more shopping to do but because of the traffic (it takes a long time to get anywhere in Bangalore most of my photos at present are of traffic) we had to get back to meet colleagues who were over from the UK for dinner.,0,1.0
171, you dont get bored even in the traffic because theres so much going on to look at.,0,0.0
172, At first I felt a bit daunted because I thought I should have had more clothes on (was wearing a T-shirt and knee length skirt) and it was really crowded but it was fine and one of the nicest shopping trips ever.,0,1.0
173, nice view and Brian liberated a coconut am not entirely sure how hell get it open but well see.,1,1.0
174, The city traffic on the Pune Bypass Road was dense and it took almost an hour to get out of it and reach Katraj Tunnel.,0,1.0
175," That era is remembered for the developments in the field of art,",1,1.0
176, This jagati provides convenience and render a good view of the wall-relief and artistic sculptures to the visitors.,1,1.0
177, The traffic was sparse on the Bangalore  Mangalore Highway.,0,0.0
178, the local population to their places of work and students to their educational institutions.,1,1.0
179, Large timber yielding trees provide shade for these coffee bushes.,1,1.0
180, The view of Western Ghats from the top of the mountain was breathtaking and we could soak in the 360 degree panoramic view.,1,1.0
181," The 150-km long drive to Mangalore was scenic very through the ghats,",1,1.0
182, Angry and frustrated people honking to get to place that they dred.,0,0.0
183, You look up and the canopy of huge trees will make you smile.,1,1.0
184, The floor is just as beautiful as the dry leaves are left to scatter around.,1,1.0
185,The first thing we spotted on our tour were the banyan trees that made the path way all wavy as their roots sprung underneath.,0,0.0
186, I recommend standing close to the tree and patting it.,1,1.0
187, I don't know about anyone else but elephants have always been a source of wonder and awe to me and the banyan tree came pretty close.,1,1.0
188,Then we walked towards a jack-fruit tree that made a prefect umbrella-picnic spot(minus the umbrella as the tree acted like one).,1,1.0
189,The best part was the range of trees at the edge of the park that stood like the choir (close together) and almost sung.,1,1.0
190," A truly spectacular moment,",1,1.0
191, it was like a cross between the room from the Beach and hell.,0,0.0
192, but in terms of beauty it's on a par with it.,1,1.0
193, chaos everywhere.,0,0.0
194, though a scenic train track through the heights of tropical forest however being one of the standing sardines in a thickly packed out second class coach (fit with crazy man lock & chained to a bar) for a delayed 8 hours wasn't so romantic as planned!,0,0.0
195,I have seen nothing but view from above and airport.,1,1.0
196, Here there is a view over the city.,1,1.0
197, It was peaceful here with no school children.,1,1.0
198,On the way to Pattadakal there were many birds in the fields and on the overhead wires.,1,1.0
199," Mysore Road used to be very crowded these days,",1,1.0
200," but luckily there was not much traffic that day,",1,1.0
201, There were big trees all around the village.,1,1.0
202,He escorted us to the trees where the birds nested.,1,1.0
203, Pelican and Painted storks selected separate trees for their habitat.,1,1.0
204,Most of those trees were located in between the village huts.,1,1.0
205, There were large sugarcane fields on the banks of the river.,1,1.0
206, Overall it was a nice view to enjoy.,1,1.0
207,While climbing up to the caves we had a view down on the tank below.,1,1.0
208, The final visit before lunch (again at the mango tree) was to the queen's bath.,1,1.0
209, The drive included a very attractive section through rice paddy fields with Hampi boulder hills in the background.,1,1.0
210, There were birds in the paddy fields helping the farmers by eating the insects?,1,1.0
211,We climbed the 650 steps up the hill to the view point and temple at the top.,1,1.0
212, The view included the river and we could see the boat crossing to our cottages.,1,1.0
213, In the other direction there was a view over rice paddy fields and the boulders.,1,1.0
214,Vittala temple was quiet when we arrived and it gave a good opportunity to take photos.,1,1.0
215, From Ganesh we walked up forpopp good view over the river valley and Viruupaksha temple.,1,1.0
216,"For lunch we sampled the """"Mango Tree"""" restaurant.",1,1.0
217,and the orange tree has retainfees little of that feel with 70s style art work and lights.,1,1.0
218, The road to Hampi included a fast motorway section that had very little traffic and an ordinary road that was very busy with lorries.,1,1.0
219, Around the marriage hall which is the most spectacular room are pictures of the festival which takes place in October.,1,1.0
220, and the crowds watching.,0,0.0
221, From the gallery there was a view over the palace park.,1,1.0
222, We stopped on the way down for a view over the city and to seethe huge black Nandi bull.,1,1.0
223, Slowly the mist began to clear.,1,1.0
224, It flew up into a tree with its prey.,1,1.0
225, In a nearby tree there was a different kind of eagle.,1,1.0
226, Up in the trees there were jungle squirrels and langur monkeys.,1,1.0
227, The early morning sun coming through the trees was highlighted the wide variety of trees.,1,1.0
228, This shop was jammed full with Indian tourists.,0,0.0
229, The cars and the traffic drive over and this seems to be part of the threshing process.,0,0.0
230, There was also a section of the road with an avenue of banyan trees forming an arch over the road.,1,1.0
231, We have our own veranda with a view of the lake.,1,1.0
232, but their behaviour in the trees was much more interesting than their roadsidE behaviour.,1,1.0
233, They were eating the leaves of the tree and breaking off small branches and eating those.,1,0.0
234, All of us on our respective mean machine Royal Enfield (5 of it) started accelerating to respond to the beauty of road and the road looked more and more beautiful as we accelerated and travelled distance.,1,1.0
235,Entrance and the view of Fort from entrance itself describes the history of the Fort.,1,1.0
236," Features of massive rock hills and scenic valleys,",1,1.0
237," we headed to Hawamahal followed by a Big Rock to climb from where one can view the entire city of Chitradurga,",1,1.0
238, with that there comes an end to our motto of exploring the beauty in City of Chitradurga.,1,1.0
239," With the Sun downing for the day our experience of exploring the beautiful history became a memory and with every passing light of Sun,",1,1.0
240, our speedometers too came down to 80kms/hr due to heavy traffic and eye catching headlights of opposing vehicles.,0,0.0
241, Unbearable traffic in ever-busy Bangalore Roads was not visible.,0,0.0
242," Traffic was comparatively less,",1,1.0
243, The traffic was considerably lesser.,1,1.0
244, NH4 was a six lane highway and the entire road was beautifully maintained.,1,1.0
245," it was a two lane Highway upto Hospet (around 130 Km from Chitradurga) with reasonable traffic (mostly trucks,",1,1.0
246, particularly in view of the recurrent trouble of overtaking large vehicles in a comparatively narrow road.,0,1.0
247,I also stopped near a Sunflower cultivation field on the roadside.,1,0.0
248,"Despite having great historical significance and being the centre of humongous and beautiful Muslim Architecture,",1,1.0
249,This is one of the most beautiful monuments I have seen anywhere.,1,1.0
250, I was coming thru interior villages as well as cultivated fields in both sides of the road.,1,1.0
251, The temple was enriched with beautifully carved walls and pillars having various sculptures with minute details.,1,1.0
252, The walls of the temples had beautifully carved stone sculptures.,1,1.0
253,The sanctum contains Black Siva Linga as well as a beautiful stone large bull.,1,1.0
254, a beautiful view to watch.,1,1.0
255, The panoramic view on top of the hill was beautiful.,1,1.0
256, Lord Vishnu manifested in his various glorious form which were immortalised by the beautiful craftsmen thousand years ago.,1,1.0
257, Gradually the road stretched thru interior cultivation fields on all sides and few interior villages.,1,1.0
258," mountains stretching all around,",1,1.0
259," waterfalls that you can see after every few meters on the road,",1,1.0
260,"Tree house that I stayed in where there is no electricity,",0,0.0
261, got to witness the spectacular sunset amidst the mountains bidding goodbye for the day.,1,1.0
262, It was raining when we reached there; we started climbing the hill to witness the view of the whole town.,1,1.0
263, there is a waterfall here called Manikyadhara falls which is a sacred place for devotees who visit Datta Peeta.,1,1.0
264, we stopped over a temple and had a very good view of Devigiri Hills for the sunset.,1,1.0
265,"Trip to Chikmagaluru without a trek is never complete; Kavikal Matta is a view point which is about 8 Kms from the home stay,",1,1.0
266, once you are on the rock all you can see is 360 degrees of mountains all around.,1,1.0
267,"There was only peace all around,",1,1.0
268,always believed in this line Its the Journey that matters and not the Destination; this was so true with this journey; Journey to this waterfall called Jagara Falls was just more than incredible.,1,1.0
269," trees all around,",1,1.0
270," holding to the roots of the trees to pass from one corner to other,",1,1.0
271, sliding through the mud and we finally reach the destination to watch the beautiful waterfall.,1,1.0
272, Journey to this waterfall was more incredible than seeing the waterfall itself.,1,1.0
273, yet again with a beautiful view of mountains and paddy fields.,1,1.0
274,You are a beauty and the beast.,1,1.0
275,"Slice from heaven that came through rain,",1,1.0
276," somehow we managed to calm our mind,",1,1.0
277," Also these temples were amazing and really beautiful although in the meantime,",1,1.0
278, The caves and the views from the caves were really beautiful.,1,1.0
279, clean and quiet room with a big bathroom with hot water and a balcony (with a view over the fields around Bijapur).,1,1.0
280," One can see beautiful islamic architecture all around the city - but the buildings,",1,1.0
281, It is another really beautiful islamic monument.,1,1.0
282, Some more chaotic travelling was ahead of us.,0,0.0
283, It did not start that glorious and peaceful for us.,0,0.0
284, For dinner we ended up in the Mango Tree Restaurant in Hampi Bazaar.,1,1.0
285, We started to walk up Hemakuta Hill from where one can get a nice view over Hampi Bazaar.,1,1.0
286, the best place to enjoy the beautiful sunsets here.,1,1.0
287, It was fun and it was really beautiful and once away from the most famous temples it was a very peaceful atmosphere.,1,1.0
288, It was still busy and full of tourists but has a more rural feeling with nice views over rice terrasses and boulders.,1,1.0
289, We had a relaxing time and lunch in the Secret River View Guesthouse with fantastatic vies over the river to the Virupaksha Temple.,1,1.0
290,dinner in the Mango Tree Restaurant.,1,1.0
291, Maybe the crowds were to much - but anyway it is very touristy.,1,1.0
292, The landscape is beautiful and the ruins are beautiful - we missed the special spirit we heard about so often.,1,1.0
293, since we would cross the Western Ghat mountain ranges.,1,1.0
294,First one hour there was heavy traffic till we reached the first toll gate (Rs 45) to catch the elevated lengthy flyover thru electronic city.,0,1.0
295, Traffic was occasionally slow and there were few crossings upto the second toll gate(Rs 25).,0,0.0
296, It was a sunny day with beautiful atmosphere.,1,1.0
297, However need for mosquito repellent was felt.,0,0.0
298,A beautiful sunny morning.,1,1.0
299, Natural beauty was excellent.,1,1.0
300, The whole environment was calm and cool with sounds of birds occasionally.,1,1.0
301, There were lot of sandalwood trees as also rare medicinal plants.,1,1.0
302, A beautiful place with shops and market as also lodging facilities.,1,1.0
303, waterfall had ample water.,1,1.0
304, it presents a spectacular view of natural beauty.,1,1.0
305, mist-filled valleys made Munnar one of the tourist hotspot.,1,1.0
306,This breath taking beauty of nature was overwhelming.,1,1.0
307, Mountain ranges touched the blue sky.,1,1.0
308, Mountains of Munnar stood tall on the other side of the river.,1,1.0
309, Thus the scenic beauty was wide open.,1,1.0
310, It was a huge lake with exquisite natural beauty and surrounded by hills.,1,1.0
311, There was heavy rush of tourists enjoying the beauty of the lake and surrounding areas.,1,1.0
312," Enjoying breakfast therein with a magnificent view of the river,",1,1.0
313, adjoining mountains and light morning sunshine was a delightful experience.,1,1.0
314,Another important feature is that the adjoining paddy fields are below sea level.,1,1.0
315," This place is famous for its natural beauty and migratory birds,",1,1.0
316, The reception official informed that our booking was upgraded to lake-view room.,1,1.0
317, There were several small-sized canals within the area and canal view rooms (which we originally booked and less costly) were located by the side of the canal.,1,1.0
318,View from the room balcony was exquisite.,1,1.0
319, Everything was calm & quite except the birds.,1,1.0
320, The entire stroll was between trees and plants.,1,1.0
321,calm and quiet.,1,1.0
322, It was time for a quiet sleep.,1,1.0
323, I opened the glass door and noticed everything was wet due to mist at night.,1,1.0
324, There are vast paddy fields at both sides.,1,1.0
325, the paddy fields are below the level of backwaters.,1,1.0
326, sea beaches is described as the Venice of the East.,1,1.0
327, beautifully constructed houses all surrounded by water.,1,1.0
328, We spent the first day walking nearby and going up the hill for some superb scenic views.,1,1.0
329, But you are rewarded with 360 degree views of this magical landscape.,1,1.0
330,views overlooking the river to Hampi.,1,1.0
331,On another day we went up Chamundy Hill by local bus for views overlooking the city.,1,1.0
332, The drive was scenic with great roads Router: Tumkur- Davangere - Yellapur- Ankola - Gokarna.,1,1.0
333,Reached Kudle Beach resort by 2pm with a couple of breaks.,1,1.0
334, It was a lovely resort with an awesome view of the Kudle beach.,1,1.0
335, The beach is a 500m trek away which was fun in its own way.,1,1.0
336, The first evening was just beach beach beach.,1,1.0
337,Bang opposite the resort is a beautiful hillock.,1,1.0
338, The ancient temples of Gokarna are a delight to any spiritual person ?? The calmness and aura cannot be explained.,1,1.0
339, We get a panoramic view of the Arabian sea from here and the Gokarna beach is just a few meters walk.,1,1.0
340,A few kilometers away from Kudle beach is Om beach.,1,1.0
341," less populated Kudle beach,",1,1.0
342, we were not too impressed with Om beach and returned quickly.,0,0.0
343, You must visit the place during sunset to see Shiva in the ocean background with the orange light adding beauty to the already spectacular scene.,1,1.0
344, You can reach the Gopuram top via a lift and have a great view as well.,1,1.0
345, The beach was of course crowded but the view of Shiva and the Gopuram from the beach was amazing!,1,1.0
346,Gokarna - Kudle beach is no doubt one of the best beach for people who love to go right in and enjoy the waves but the city's beauty is doubled due to its spiritual feel!,1,1.0
347," relatively calm and no hiccups along the way,",1,1.0
348, and honked at everything that was alive.,0,1.0
349,We sat outside for the rest of the afternoon admiring the views of the palace and people watching whilst planning our next move.,1,1.0
350,Hampi; described as one of the most bewitching and spell-bounding landscapes with sandy temples and ruins dotted across some of the most spectacular scenery.,1,0.0
351," Piles of mountains were made up of circular round boulders,",1,1.0
352," It all looked like the perfect natural and calming environment,",1,1.0
353, very quiet in places and far removed from the cities we had previously visited.,1,1.0
354, We certainly wanted calm and tranquil by this point.,1,1.0
355, As we followed the beautiful trail that snaked beside the river we came across some completely abandoned sites.,1,1.0
356, It was such a beautiful place.,1,1.0
357,evil spirits that the beautiful baby is not in fact beautiful.,0,1.0
358," at the most unusual Mount View Heritage Hotel,",0,0.0
359, what with its stunning rooms and top-notch view over Ooty.,1,1.0
360," It was interesting to take in Ootys beautiful lake,",1,1.0
361,"somehow into the beautiful highland areas out of town,",1,1.0
362, down the even more spectacular Sighur Ghat road.,1,1.0
363, there were spectacular jungle wilderness vistas as far as the eye could see.,1,1.0
364, I just have to briefly mention two more of the memorable signs glimpsed down the mountain road.,1,1.0
365, the highest population density in the whole of India.,1,1.0
366," I had booked myself into the lodges stunningly sited Tree House,",1,1.0
367," about ten metres up a huge tree away from the main building,",1,1.0
368, unparalleled views over the Indian Jungle.,1,1.0
369," though I cant really explain how  I guess the trees were not so tall,",1,1.0
370," I just spent my first couple of hours there on my Tree House balcony,",1,1.0
371," just staring out at the beauty of the landscape,",1,1.0
372, I was most satisfied with the Tree House.,1,1.0
373," I believe it was a monkey that had somehow entered through the gap between a tree trunk and the ceiling,",0,1.0
374, but still prime viewing area for wildlife.,1,0.0
375," Spotted some beautiful beasts,",1,1.0
376," but fortunately the only animals we did see were a spectacular group of at least a hundred chital,",1,0.0
377," and on my Tree House balcony with the spectacular view,",1,1.0
378," with huge horns which have very sharp points,",1,1.0
379," antlered chital deer standing very peacefully on the side of the track,",1,1.0
380, Unfortunately my viewing of a tiger in the wild will have to wait for another time.,1,0.0
381, from the comfort of my very own spare bedroom in my beautiful little house in Croydon.,1,1.0
382, of splendid waterfalls situated in various spots of Western Ghat Region.,1,1.0
383, Best time to enjoy the waterfalls is during monsoon.,1,1.0
384, It is one of the highest waterfall in India (around 900ft) located around 400 KMs from Bangalore.,1,1.0
385, These enthusiastic people enjoyed getting soaked by rain and of course the view of waterfalls.,1,1.0
386,Last time we went to the foothills (around 900ft) where the waterfall touched the Saravatiriver.,1,0.0
387, We thought of visiting the other side of the river to have different view of the falls.,1,1.0
388,View of the falls was better from that side.,1,1.0
389, The contest between cloud and the waterfall was in full swing.,1,1.0
390, Falling trees in various places narrowed down the road passage.,0,0.0
391, The backwater of the Arabian Sea gives a magnificent view of the whole place.,1,1.0
392, The area has other beautiful statutes and the temple.,1,1.0
393, The area is well planned and beautifully maintained.,1,1.0
394, There is lift arrangement for reaching the top floor to have abirds eye view of the surrounding area.,1,1.0
395, Also viewing the sea at night from the hotel balcony was a memorable experience.,1,1.0
396, Sea was calm and cool today.,1,1.0
397, This road was quite good to drive with wonderful natural beauties on the way.,1,1.0
398,a splendid view to watch on the way.,1,1.0
399," but we thought of visiting Om Beach first,",1,1.0
400, Around four Km away from the beach we had the first glimpse of the sea from the top.,1,1.0
401," Sea and the beach were located around 200 ft down below,",1,1.0
402, An excellent panoramic view to enjoy.,1,1.0
403," The beach looked like OM from the top,",1,1.0
404, a spectacular sight.,1,1.0
405, This beach was different with rocky areas in various places.,1,1.0
406, The road passed thru absolutely green forests in Western Ghat with occasional view of waterfalls from nearby hills.,1,1.0
407, There was not much traffic en-route.,1,1.0
408, very tight descent down the mountains with 27 needle pin bends.,1,1.0
409, I found it all both beautiful and absurd.,1,1.0
410, The land had gotten very green and beautiful though and it was clear I was in for the next stage of my stay in India.,1,1.0
411, It has one of the finest beaches of India and many old age churches.,1,1.0
412,It is always eye soothing to go out of the city; then only we can enjoy the real beauty of nature.,1,1.0
413," We can see trees on both sides of the roads many times the top of the trees kissing each other making a complete shade over the busy roads,",1,1.0
414, being having awesome weather throughout the year some trees are always laden with beautiful flowers.,1,1.0
